batch_size: 12
Dataset loaded!
initialize network with normal
initialize network with normal
initialize network with normal
initialize network with normal
Start Profiling!
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::empty         2.00%      79.667ms         2.18%      86.908ms       6.486us       0.000us         0.00%       0.000us       0.000us         160 b         160 b      83.08 Gb      83.08 Gb         13400  
                             aten::convolution_backward         4.47%     177.730ms        10.06%     400.488ms     158.924us        1.230s        39.73%        1.301s     516.458us           0 b           0 b      70.85 Gb      45.59 Gb          2520  
                                    aten::empty_strided         0.79%      31.583ms         0.91%      36.107ms       7.217us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      44.00 Gb      44.00 Gb          5003  
                                aten::cudnn_convolution         1.63%      64.710ms         2.71%     107.860ms      69.141us     264.763ms         8.55%     264.932ms     169.828us           0 b           0 b      23.30 Gb      23.30 Gb          1560  
                              aten::leaky_relu_backward         0.37%      14.616ms         0.65%      25.689ms      19.462us      55.853ms         1.80%      55.853ms      42.313us           0 b           0 b      23.28 Gb      23.28 Gb          1320  
                                              aten::cat         0.40%      15.914ms         0.57%      22.697ms      25.792us      37.023ms         1.20%      37.023ms      42.071us           0 b           0 b      21.94 Gb      21.94 Gb           880  
                               aten::threshold_backward         0.30%      12.070ms         0.52%      20.706ms      21.569us      53.123ms         1.72%      53.123ms      55.337us           0 b           0 b      21.60 Gb      21.60 Gb           960  
                      aten::cudnn_convolution_transpose         0.91%      36.383ms         1.62%      64.466ms      67.152us     456.865ms        14.76%     456.865ms     475.901us           0 b           0 b      11.87 Gb      11.87 Gb           960  
                                              aten::add         0.28%      11.335ms         0.46%      18.389ms      18.764us      30.833ms         1.00%      30.833ms      31.462us           0 b           0 b      10.82 Gb      10.82 Gb           980  
